SAMINATURA BINEFAR;;;;;;;;;;;;;;;;;;;;;;
ARTICULOS GENERAL;;;;;;;;;;;;;;;;;;;;;;

Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F
ARTICULOS GENERAL;;;;;;;;;Pagina 4 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
2008;2008;ARTICULO 2008;UNIDADES;0%;;;NORMAL;;V;C;S; 
2074;2074;ARTICULO 2074;UNIDADES;10%;;;NORMAL;;V;C;S; 
2082;2082;ARTICULO 2082;UNIDADES;10%;;;NORMAL;;V;C;S; 
2083;2083;ARTICULO 2083;UNIDADES;10%;;;NORMAL;;V;C;S; 
2132;2132;ARTICULO 2132;UNIDADES;10%;;;NORMAL;;V;C;S; 
2327;2327;ARTICULO 2327;UNIDADES;10%;;;NORMAL;;V;C;S; 
2354;2354;ARTICULO 2354;UNIDADES;10%;;;NORMAL;;V;C;S; 
2380;2380;ARTICULO 2380;UNIDADES;10%;;;NORMAL;;V;C;S; 
2432;ex perejil;ARTICULO 2432;UNIDADES;10%;;;NORMAL;;V;C;S; 
2497;2497;ARTICULO 2497;UNIDADES;10%;;;NORMAL;;V;C;S; 
2525;2525;ARTICULO 2525;UNIDADES;10%;;;NORMAL;;V;C;S; 
2781;2781;ARTICULO 2781;UNIDADES;10%;;;NORMAL;;V;C;S; 
2965;;ARTICULO 2965;UNIDADES;21%;;;NORMAL;;V;C;S; 
3031;3031;ARTICULO 3031;UNIDADES;10%;;;NORMAL;;V;C;S; 
3038;3038;ARTICULO 3038;UNIDADES;10%;;;NORMAL;;V;C;S; 
3082;3082;ARTICULO 3082;UNIDADES;10%;;;NORMAL;;V;C;S; 
3129;3129;ARTICULO 3129;UNIDADES;10%;;;NORMAL;;V;C;S; 
3137;3137;ARTICULO 3137;UNIDADES;10%;;;NORMAL;;V;C;S; 
3178;3178;ARTICULO 3178;UNIDADES;10%;;;NORMAL;;V;C;S; 
3233;3233;ARTICULO 3233;UNIDADES;10%;;;NORMAL;;V;C;S; 
3259;3259;ARTICULO 3259;UNIDADES;21%;;;NORMAL;;V;C;S; 
3272;3272;ARTICULO 3272;UNIDADES;10%;;;NORMAL;;V;C;S; 
3277;3277;ARTICULO 3277;UNIDADES;10%;;;NORMAL;;V;C;S; 
3340;3340;ARTICULO 3340;UNIDADES;10%;;;NORMAL;;V;C;S; 
3356;3356;ARTICULO 3356;UNIDADES;10%;;;NORMAL;;V;C;S; 
3417;3417;ARTICULO 3417;UNIDADES;10%;;;NORMAL;;V;C;S; 
1726;5060326274276;ARTICULO 5060326274276;UNIDADES;10%;;;NORMAL;;V;C;S; 
977;977;ARTICULO 977;UNIDADES;10%;;;NORMAL;;V;C;S; 
982;982;ARTICULO 982;UNIDADES;10%;;;NORMAL;;V;C;S; 
1850;1850;ASHWAGANDHA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2191;2191;ASHWAGANDHA 400mg;UNIDADES;0%;;;NORMAL;;V;C;S; 
2452;2452;ashwagandha nutralie;UNIDADES;10%;;;NORMAL;;V;C;S; 
2193;2193;ASHWAGANDHA+RHODIOLA;UNIDADES;0%;;;NORMAL;;V;C;S; 
3045;3045;ASHWAGHANDA +MAG 120C;UNIDADES;10%;;;NORMAL;;V;C;S; 
3044;3044;ASHWAGHANDA +MAG 30C;UNIDADES;10%;;;NORMAL;;V;C;S; 
2375;2375;ASHWAGHANDA +SHATAVARI;UNIDADES;0%;;;NORMAL;;V;C;S; 
3199;3199;ASHWAGHANDA FERMNT;UNIDADES;10%;;;NORMAL;;V;C;S; 
2072;2072;ASHWAGHANDA GUMMY;UNIDADES;10%;;;NORMAL;;V;C;S; 
2668;2668;ashwaghanda men;UNIDADES;0%;;;NORMAL;;V;C;S; 
2832;2832;ashwaghanda sleep;UNIDADES;0%;;;NORMAL;;V;C;S; 
2192;2192;ashwaghnda gomitas osavi;UNIDADES;10%;;;NORMAL;;V;C;S; 
2017;2017;ASTAXANTHIN 10MG;UNIDADES;0%;;;NORMAL;;V;C;S; 
3379;3379;astaxantina;UNIDADES;10%;;;NORMAL;;V;C;S; 
2376;2376;astragalus gotas;UNIDADES;0%;;;NORMAL;;V;C;S; 
2199;2199;atrix 50/50;UNIDADES;10%;;;NORMAL;;V;C;S; 
1923;1923;ATTIEKE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2973;2973;atun aov;UNIDADES;10%;;;NORMAL;;V;C;S; 
2926;2926;ATUN BIOCOP;UNIDADES;10%;;;NORMAL;;V;C;S; 
2974;2974;ATUN ESCABECHE;UNIDADES;10%;;;NORMAL;;V;C;S; 
1924;1924;avena 1,5kg;UNIDADES;10%;;;NORMAL;;V;C;S; 
3296;3296;AVENA 1KG S/G;UNIDADES;10%;;;NORMAL;;V;C;S; 

ARTICULOS GENERAL;;;;;;;;;Pagina 5 ;;;;;Fecha : 03/02/2026;;;;;;;;
Codigo;Referencia;Articulo;Medida;IVA;;Seccion;Tipo;;V;C;S;F

001 TODAS;;;;;;;;;;;;;;;;;;;;;;
1687;1687;avena sin gluten 1kg;UNIDADES;0%;;;NORMAL;;V;C;S; 
3029;3029;ayurdent;UNIDADES;21%;;;NORMAL;;V;C;S; 
3028;3028;AYURDENT;UNIDADES;21%;;;NORMAL;;V;C;S; 
2143;2143;azafran;UNIDADES;10%;;;NORMAL;;V;C;S; 
2130;2130;azafran suravitasan;UNIDADES;10%;;;NORMAL;;V;C;S; 
1696;1696;azucar de maiz;UNIDADES;10%;;;NORMAL;;V;C;S; 
1690;1690;AZUCAR VAINILLA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2829;2829;b1 OSAVI;UNIDADES;0%;;;NORMAL;;V;C;S; 
3462;3462;B12;UNIDADES;10%;;;NORMAL;;V;C;S; 
2001;2001;B12 GOTAS;UNIDADES;0%;;;NORMAL;;V;C;S; 
2806;2806;B6 ALL NUTRICION;UNIDADES;0%;;;NORMAL;;V;C;S; 
2357;2357;BAGUET 2 S/G;UNIDADES;10%;;;NORMAL;;V;C;S; 
1603;1603;BALSAMO LABIAL;UNIDADES;21%;;;NORMAL;;V;C;S; 
2754;2754;balsamo multiusos;UNIDADES;21%;;;NORMAL;;V;C;S; 
1686;1686;BALSAMO TIGER BLANCO;UNIDADES;21%;;;NORMAL;;V;C;S; 
1685;1685;BALSAMO TIGER ROJO;UNIDADES;21%;;;NORMAL;;V;C;S; 
2092;2092;banban glicolico;UNIDADES;21%;;;NORMAL;;V;C;S; 
2091;2091;BANBAN PACK;UNIDADES;21%;;;NORMAL;;V;C;S; 
3025;3025;baño de crema;UNIDADES;21%;;;NORMAL;;V;C;S; 
2271;2271;bar minidona;UNIDADES;10%;;;NORMAL;;V;C;S; 
2268;2268;BAR MINIDONA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3109;3109;barrita;UNIDADES;10%;;;NORMAL;;V;C;S; 
3309;3309;BARRITA;UNIDADES;0%;;;NORMAL;;V;C;S; 
1729;1729;BARRITA CONGUITO BL;UNIDADES;10%;;;NORMAL;;V;C;S; 
1853;1853;BARRITA DE LACASITOS;UNIDADES;10%;;;NORMAL;;V;C;S; 
1739;1739;barrita granaada;UNIDADES;10%;;;NORMAL;;V;C;S; 
2364;2364;BASE PIZZA;UNIDADES;10%;;;NORMAL;;V;C;S; 
3499;3499;BASTONCILLOS;UNIDADES;21%;;;NORMAL;;V;C;S; 
2839;2839;bastones de almendra;UNIDADES;4%;;;NORMAL;;V;C;S; 
3306;3306;bcaa;UNIDADES;0%;;;NORMAL;;V;C;S; 
1847;1847;BCAA;UNIDADES;10%;;;NORMAL;;V;C;S; 
2346;2346;bcaa biotech;UNIDADES;0%;;;NORMAL;;V;C;S; 
1563;1563;BCAA GLUTAMINE;UNIDADES;10%;;;NORMAL;;V;C;S; 
2101;2101;be positive;UNIDADES;21%;;;NORMAL;;V;C;S; 
2070;2070;BE POSITIVE;UNIDADES;21%;;;NORMAL;;V;C;S; 
2676;2676;BEAN ESSENCE;UNIDADES;21%;;;NORMAL;;V;C;S; 
3177;3177;beauty blend;UNIDADES;0%;;;NORMAL;;V;C;S; 
2651;2651;beauty of jonseon psf50+;UNIDADES;21%;;;NORMAL;;V;C;S; 
1837;1837;BEBIDA DE ALMENDRA;UNIDADES;10%;;;NORMAL;;V;C;S; 
1838;1838;bebida de almendra bio;UNIDADES;10%;;;NORMAL;;V;C;S; 
2486;2486;bebida de arroz;UNIDADES;10%;;;NORMAL;;V;C;S; 
