SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
159;ACELGAS;;4- BIONSAN;;30,00;0,90;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1509;acerola;;11- organicasuperfoods;;2,00;12,09;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2140;ACEROLA;;10- ECOPLAZA;;3,00;9,76;;50;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
502;acido hialuronico;;19- ALDOUS;;12,00;16,81;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2129;acidophilusultra;;10015-SURAVITASAN;;2,00;16,05;;20;;
;;;;;;;;;;;
3253;ACIETE CAPILAR;;10019- WELEDA;;2,00;8,65;;0;;
;;;;;;;;;;;
1706;ACIETE DE OREGANO SURAVITASAN;;10015-SURAVITASAN;;12,00;14,55;;20;;
1706;ACIETE DE OREGANO SURAVITASAN;;3- FELIUBADALO;;4,00;14,55;;0;;
;;;;;;;;;;;
1799;ACIETE DE ROMERO;;10012- APROLIS;;11,00;5,51;;0;;
;;;;;;;;;;;
2093;ACL;;29- LIFE PRO;;2,00;11,90;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1505;ACNDEPUR;;10012- APROLIS;;8,00;9,27;;0;;
;;;;;;;;;;;

HIGIENE PERSONAL;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1318;acodicionador te;;7- BIOCOP;;3,00;5,69;;0;;
;;;;;;;;;;;
678;ACONDICIONADO TRATNTE;;21-NATURAKOSMETIC;;2,00;8,40;;12;;
;;;;;;;;;;;

ARTICULOS - PROVEEDOR;;;;;Pagina 7 ;;;Fecha : 03/02/2026;;;
TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2554;acondicionador;;21-NATURAKOSMETIC;;2,00;4,15;;0;;
;;;;;;;;;;;

HIGIENE PERSONAL;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
625;acondicionador;;21-NATURAKOSMETIC;;3,00;3,72;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
